,المعرف,الفئة,النوع,السعر,الكمية,الإجمالي
0,25,  اسكرين ,غزالة  - OOHI - نينجا,45,1,45
1,26,كمونه,10,10,1,10
2,27,كمونه,5,5,1,5
3,28,كمونه,5,5,1,5
4,29,  اسكرين ,HD,35,1,35
5,30,كمونه,10,10,1,10
6,31,كمونه,5,5,2,10
7,32,حجر ,VEKO كبير,20,1,20
8,33,  اسكرين ,غزالة  - OOHI - نينجا,45,1,45
9,34,ريموت,x,25,1,25
10,35,حجر ,VEKO صغير,20,1,20
11,36,جراب,60,60,1,60
12,37,صيانة,50,50,1,50
