,المعرف,الفئة,النوع,السعر,الكمية,الإجمالي
0,1,  اسكرين ,نحلة - ,60,1,60
1,2,  اسكرين ,غزالة  - OOHI - نينجا,45,1,45
2,3,وصلة type c,scorpion,30,1,30
3,4,شاحن TYPEC TYPEC ,X,200,1,200
4,5,  اسكرين ,غزالة  - OOHI - نينجا,45,1,45
5,6,صيانة,40,40,1,40
6,7,خالد,الدسوقي,40,2,80
7,8,خالد,الدسوقي,20,1,20
8,9,كمونه,5,5,1,5
9,10,سماعه,stereo ,60,1,60
10,11,خالد,الدسوقي,30,1,30
11,12,كمونه,5,5,1,5
